,id,open,close,low,high,amount,vol,count
25,2018-07-14 00:00:00,7.7,7.63,7.45,7.74,109252.21071887534,829654.2230201666,10035.0
26,2018-07-13 00:00:00,7.42,7.71,7.29,7.75,121093.64936306323,920252.28502198,9400.0
27,2018-07-12 00:00:00,7.77,7.41,7.32,7.87,157769.21305538612,1194025.531022,10474.0
28,2018-07-11 00:00:00,7.97,7.76,7.58,8.05,200044.96254661155,1556643.6889885548,12721.0
29,2018-07-10 00:00:00,9.0,7.96,7.75,9.02,289034.60882470646,2388705.7132792138,16769.0
30,2018-07-09 00:00:00,9.11,9.0,8.76,9.2,149393.65336015646,1330855.4984222527,10853.0
31,2018-07-08 00:00:00,8.89,9.12,8.72,9.24,196570.0125491886,1777125.6674883207,12441.0
32,2018-07-07 00:00:00,8.74,8.88,8.7,9.55,488821.6724864801,4459275.220264835,21129.0
33,2018-07-06 00:00:00,8.82,8.74,8.4,9.02,277992.1483532022,2423194.6045142594,17369.0
34,2018-07-05 00:00:00,9.06,8.82,8.6,9.26,246995.08235754565,2224895.055593376,16327.0
35,2018-07-04 00:00:00,9.01,9.04,8.51,9.32,278618.5350712808,2492545.9588376563,16018.0
36,2018-07-03 00:00:00,9.16,9.01,8.95,9.5,219333.59934956208,2010991.7215407223,14209.0
37,2018-07-02 00:00:00,8.46,9.15,8.33,9.35,272147.43015827757,2399028.167279356,14785.0
38,2018-07-01 00:00:00,8.42,8.46,8.25,8.9,225820.76794325214,1924994.5578808838,14463.0
39,2018-06-30 00:00:00,7.81,8.43,7.67,8.79,254852.99592070075,2132791.9664515895,15631.0
40,2018-06-29 00:00:00,8.47,7.8,7.51,8.53,296265.6157287363,2309135.1244021356,14915.0
41,2018-06-28 00:00:00,8.75,8.47,8.38,8.91,185511.04708603193,1599090.74268694,13084.0
42,2018-06-27 00:00:00,9.25,8.76,8.11,9.5,972264.2794927795,8651930.188665347,32378.0
43,2018-06-26 00:00:00,8.39,9.22,7.93,9.29,287909.3716708797,2403716.39200164,14361.0
44,2018-06-25 00:00:00,7.44,8.39,7.43,8.47,423474.962868299,3422276.5000836668,15649.0
45,2018-06-24 00:00:00,8.61,7.46,7.42,8.9,457450.4624339227,3626299.935099434,17945.0
46,2018-06-23 00:00:00,9.01,8.62,8.51,9.22,266933.3879411035,2348366.8712681644,8033.0
47,2018-06-22 00:00:00,10.18,9.03,8.92,10.25,254963.8477877538,2421692.778225222,5976.0
48,2018-06-21 00:00:00,10.39,10.16,10.1,10.64,191023.59899331117,1983216.1622967864,11072.0
49,2018-06-20 00:00:00,10.59,10.38,10.01,10.73,226815.0202369088,2327399.503332904,12221.0
50,2018-06-19 00:00:00,10.23,10.59,10.17,10.91,267275.7437031105,2818788.7010746296,15406.0
51,2018-06-18 00:00:00,10.54,10.22,10.03,10.62,116020.81305309261,1187186.7824991376,9611.0
52,2018-06-17 00:00:00,10.31,10.55,10.28,10.7,83941.23557858096,886284.8084777428,8068.0
53,2018-06-16 00:00:00,10.78,10.3,10.28,10.92,110429.9498940329,1167261.0109072106,11142.0
54,2018-06-15 00:00:00,10.35,10.78,10.31,11.29,178263.4080761957,1940682.6283270465,15026.0
